asia,tub,smoke,lung,bronc,either,xray
0.15073845,-0.08677508,0.08375337,-0.0148465615,0.6806708,-0.00890503,0.08900344
0.11446711,-0.046997473,0.12756422,-0.043079983,0.6070349,-0.031035831,0.09896137
0.041809887,-0.017115245,0.15049595,0.034012355,1.0169923,0.05631349,0.06884768
0.000807505,-0.27669215,-0.08124044,-0.112672366,-0.62479234,-0.5647584,-0.475756
-0.24167112,0.0023025128,-0.20494366,0.293533,-2.4799833,-0.068076916,0.024293492
0.085730955,0.021275815,0.05147282,0.16585676,0.5252496,0.055404384,0.012941843
0.10381572,0.100947894,0.2322236,-0.22935174,2.3795884,0.04742381,0.0162382
0.0034792814,0.0041956105,-0.28788686,-0.29807597,-1.4498739,-0.30587354,-0.032184683
0.0010490074,0.012978817,0.3452159,-0.26758456,2.6172068,-0.06518206,0.10558729
0.1266846,-0.066216424,0.089763105,-0.085312806,0.84728986,-0.018831447,0.0898684
-0.13899031,-0.092058875,-0.079011865,0.22361796,-0.8031873,-0.15563697,0.0076563694
-0.012395995,-0.0069806105,0.33536106,-0.18318188,2.1719363,0.035595328,0.052329693
0.21157701,-0.0017685622,0.14835118,-0.020907307,1.2525781,0.034079745,0.038338933
-0.08587327,0.0272275,0.01913439,0.23326005,-2.6204553,-0.060535025,-0.027049942
0.09053776,-0.019675117,0.10280119,-0.056426305,0.71537673,-0.035343967,0.04997429
0.039054148,-0.013476709,0.20808004,-0.012396697,1.3465068,0.0020774165,0.072233
-0.023560083,0.07849588,-0.2293595,-0.33053577,-1.3227963,-0.3978999,0.08335533
-0.045183916,-0.18378122,-0.1659639,0.2355709,-0.90470487,-0.14131472,0.033285923
0.07208464,-0.031017285,0.4271116,-0.32038355,2.2636096,-0.1886865,0.15705936
-0.17946962,0.061854046,-0.11183749,0.24592955,-2.5150247,-0.07059936,0.020600395
0.23680092,0.016526682,0.3053216,-0.45210314,2.355199,-0.0710369,0.019475723
0.12571014,-0.038080964,0.0649341,-0.14157802,1.2619387,-0.046933074,0.114858456
0.08922943,-0.028759295,0.16804802,-0.13788415,0.8074863,-0.03323946,0.09403076
