P,Q,R
-0.0036962149,0.010113761,-0.004857544
0.0005998336,0.011274225,0.0041858004
-0.0067882147,0.028676357,0.002645306
-0.0007091179,-0.0047065574,0.0061634183
-0.0035235991,0.025501123,-0.004290849
-0.01157747,0.013580659,0.0037866475
0.0034906107,0.0040501654,0.0092605185
0.013497531,0.0014585501,0.0109264795
-0.006881886,0.028613208,-0.0009186885
-0.0005531944,0.01110652,0.002796839
-0.0048402534,0.02642949,0.005078916
-0.00552747,-0.0055185114,0.008524319
-0.0010547453,0.010283308,0.0064436756
0.01334325,0.013086825,0.010839904
-0.006234333,0.027030338,-0.0013495974
-0.0052633877,0.020646397,-0.008723269
-0.0036672584,-0.004982289,0.00888629
-0.004197657,0.01711384,0.0004959452
-0.005522448,0.025801321,-0.006190866
0.013357652,0.013223891,0.007972016
-0.00095646526,0.012588669,-0.0061288592
-0.011502672,0.0208018,-0.006591389
-0.010374211,0.0037741044,0.003833951
0.014613715,0.013667171,0.010014352
-0.0024208878,0.024317972,0.00024353722
-0.00529587,0.017492102,0.0017272615
-0.00027544482,0.010683826,0.0006035045
0.01362786,0.005420233,0.010646415
0.0019121054,0.0064653903,0.0010824194
-0.006596942,0.027249092,0.0027754158
-0.00066006905,0.0052852146,-0.0006958293
-0.0012770214,0.00943647,0.004598314
-0.00022394216,0.00498725,0.009473734
-0.00085339183,-0.006135809,0.0045256205
0.0035273754,-0.0019736874,0.011318039
-0.0051321485,0.0030569509,0.011286944
0.002021649,-0.0066529675,0.002599404
-0.00048713895,0.0046876236,0.0069045
-0.0006638764,0.00448841,0.0091610225
-0.010297148,0.02048284,-0.001139853
0.0010224716,0.025229841,-0.0053976635
-0.0031379997,0.008787514,0.013104015
-0.0008984244,0.01227482,0.0044403602
-0.006561223,0.02743784,0.0030936145
-0.00031736764,0.00959198,0.0048580994
-0.0013932366,0.0034324105,-0.005572753
0.011497588,0.008683828,0.0075009186
-0.0018675035,0.012318475,0.0068779276
0.0034301495,0.008170213,0.010637433
-0.00042130984,0.013473839,0.005803841
-0.005240886,-0.0055142744,0.0052071917
0.009079623,0.017961388,0.0015158576
0.0033207177,0.0029907918,0.00036990846
-0.006747826,0.022157185,-0.008888351
-0.006681636,-0.0038507693,0.007713503
-0.0030425123,0.0089541655,0.006983913
0.018496035,0.0050667357,0.014730934
0.007228929,0.012125274,0.008949823
-0.0076685026,0.019955216,-0.0016529692
-0.0005951781,0.0058066878,0.007911881
-0.0034445766,0.0103920195,0.008693249
-0.0015601922,0.0016807279,0.007812137
0.0006190621,0.008778953,0.0073625245
-0.00071570143,-0.009754182,0.004225951
-0.0011524606,0.0074975956,0.007772689
-0.004080853,-0.000657844,0.006880203
0.012385981,0.019476179,0.009241436
0.013803541,-0.00091633876,0.012240149
0.014018848,0.012786925,0.008156231
-0.00061846134,0.0047014263,0.008917314
0.004096572,0.0071324296,0.0032732396
0.001784628,0.006084937,0.007710958
-0.005879596,-0.0055502118,0.005866297
-0.008043379,0.02678821,-0.005440178
-0.0015045248,0.008349946,0.010925006
-0.0132687185,0.013795156,0.0016020605
-0.004581483,-0.0023882464,0.007874053
-0.008288207,0.020191059,0.000659043
0.011015355,0.013797909,0.0057339263
-0.0018623725,0.0018691674,0.007928236
-0.004211423,0.024515584,-0.0037245667
-0.00085506035,0.008988311,0.0058357865
-3.7862086e-05,0.0056274165,0.008798629
0.00043508166,0.00096685154,0.009803461
-0.00054358825,0.003417624,0.006514136
-0.007639095,0.028161325,0.001133379
-0.014710031,0.009929837,-0.001550715
-0.0072420654,0.0044236872,0.013669853
-0.018034026,0.016754866,-0.004903518
-0.0112418085,0.023806885,-0.002861803
0.0028348176,-0.0009742328,-7.5777652e-06
0.020626513,0.013626172,0.008882964
0.0013715809,0.023908332,0.0025458413
-0.003169762,0.0033629404,0.008498992
-0.0076366584,0.028376954,-0.002419909
0.010368904,0.012598224,0.009815137
