P,Q,R
7.789446e-05,0.000800917,0.0065817237
0.0034817571,0.0155315725,-0.0022270677
-0.0014045228,0.014478681,0.0063885115
-0.0011240756,0.0071202493,0.009392913
-0.0062997225,0.011695734,-0.002480264
-0.006691495,0.011566082,0.0032501998
0.0016018655,0.002082618,0.0052797375
0.0046477146,-0.00091063726,0.0048021176
-0.00027615743,0.014436131,0.0062134406
-0.007827245,0.009773107,0.003810986
0.0004004617,0.0054043746,0.0027851947
-0.0050875847,0.002543017,0.007962531
0.00053852925,0.015493436,0.0041741715
0.009647653,0.003812604,-0.0013410631
0.001459225,0.017859614,0.0013284193
0.001078512,-0.00069919816,0.000501126
-0.00417979,-0.0041811415,0.0027930667
0.00055172306,-0.00084754353,0.0067487694
-0.0011984915,0.013268019,-0.008378883
0.005984321,0.0011148353,0.008571
-0.0019796938,-0.0027105145,-0.010763452
-0.008426918,0.028181707,-0.006564341
-0.0074191596,0.01080253,0.0003553689
0.0075301128,0.0074671702,0.0037303893
0.00033230963,0.008974854,0.0048422627
-0.016181428,0.01961929,-0.0036525717
-0.0015664826,0.001944756,-0.008553728
0.0032252942,0.0004153619,-0.0006023213
0.0001269545,-0.0029807258,-0.0007989559
0.0015179182,0.012010053,0.0049157282
-0.0008862823,-0.00069689995,-0.008830896
-0.00034733015,-0.003581345,0.013796526
-0.00032129695,0.0058187754,0.0078134285
0.0050127166,0.0065447344,0.005156906
0.0011922662,-0.008954279,0.0020855723
-0.003028763,0.012292532,0.0036451488
0.011594375,-0.016266018,0.0006320492
-0.0009488452,0.010452363,0.0015769975
-0.005791081,0.004601306,0.009213434
-0.0032842576,0.028563017,-0.0019132447
-0.0067330687,0.017480038,-0.009277026
0.0030600152,0.015928773,0.0098970095
-0.00039461593,0.015652185,0.0036304588
-0.00024836935,0.011957829,0.0052857143
0.0037944715,0.017076124,-0.0016628711
2.1827595e-06,-0.0016928148,-0.016577339
0.006974367,0.0022563864,0.012933953
-0.0015628078,0.021264274,0.0032239996
-0.0032831118,-0.0033916128,0.006010784
-0.010094218,0.01279287,0.008564269
-0.006000625,-0.0011765334,-0.0006632676
0.0041477587,0.015427569,-0.009722869
-0.00044911163,-0.0020310252,-0.0051226364
-0.0032437493,0.0063276957,-0.0033164967
-0.005080264,0.004161735,0.014853192
0.003950295,0.016828323,0.0018477407
0.0038538172,-0.0062051713,0.02274199
-0.0042521604,-0.0008842423,0.0036624817
-0.0025412014,0.00023772506,0.0024675126
-0.001386168,0.01702866,-0.002037463
0.007848719,0.0017051743,-0.002660108
-0.012067297,0.008867022,0.0030493997
-0.006648816,0.019341886,-0.0006712193
0.011083252,-0.013590516,0.0014630427
-0.00056302524,0.0167078,0.0016236489
-0.0020996316,0.0010563474,-0.0038408542
0.008298591,0.009539931,0.009994501
0.0024418253,-0.0017002024,0.0043985723
0.0051895413,0.0013703135,0.014811503
-0.00031830653,0.0057531935,0.007648896
-0.0008261696,0.0004637555,0.006701064
-0.002006666,0.003115368,0.005159019
-0.0050197793,-0.00523596,0.0030951935
-0.0024024695,0.015131397,-0.0023151855
-0.0004382084,0.016605563,-0.011615924
-0.011939223,0.013015665,-0.0023904995
-0.0012955852,-0.002061344,0.011719601
-0.009832388,0.02243303,0.0016352811
0.00034091703,0.003677386,-0.0017808704
-0.0081417505,0.0075801117,0.004681852
-0.005606197,0.018856296,-0.0056017777
0.0065459437,0.014891101,-0.005776296
0.0064922683,0.012404772,0.0026913069
0.0002941037,-0.005484105,0.012592941
0.00562726,0.014463001,0.0005918711
-0.008530572,0.024309685,-0.0036481293
-0.0111266095,0.02547516,0.0010848687
0.00052430504,0.009842108,0.018726425
-0.0063020163,0.014739305,0.0012758765
-0.0022709398,0.018282425,-0.00017498118
0.000575196,-0.0016031596,0.0019249622
0.0048641404,0.0022335742,0.007942933
-0.00978432,0.011198632,-0.0034832784
0.0046946877,0.0071611786,0.0057195784
-0.00020359704,0.015111804,0.0061132163
-0.001223724,0.005600537,0.014495201
-0.0020922327,-0.0044995905,0.010218409
0.0030283458,0.0044029374,-0.0023124758
0.006940011,-0.004783508,0.016107878
0.0074025597,0.002501226,0.0114189135
-0.0024674505,0.012197641,0.0009825268
0.0024771024,0.027016513,-0.007894988
-0.0041336366,0.0132538015,0.003131471
-0.0033680953,-0.00014969082,-0.002724085
0.0061376826,0.008062916,0.0052198805
0.0004475169,0.0032339,-0.0021047806
-0.00883631,0.0049602627,0.0129492115
0.00025425485,0.01935851,0.0017786899
0.0011492799,0.014029984,0.0002654638
0.008635382,0.0060063973,0.0060701044
-0.0069243945,0.007010018,0.007465746
0.0019198146,-0.0036685886,0.0009847824
0.0007786355,0.0032212264,1.5484775e-05
0.005140583,0.0065207,0.0058196867
5.132615e-05,-0.0028448491,0.037190717
0.0103652915,0.0074494313,0.004273825
-0.0023717417,-0.0031913486,0.002038254
-0.008340139,0.020242894,0.0035454384
0.0009943963,0.002266409,-0.006613325
0.0020361014,0.01359963,0.0027162007
0.008764312,0.006521093,-0.004287471
-0.0067751147,-0.0036084573,0.009584927
-0.0018906603,-0.00035757723,-0.0065654595
-0.0066805133,0.012934655,-0.011060871
-0.008925487,0.0058473162,0.014962036
0.0036575568,-0.0038300732,0.008146742
-0.0026680375,0.0023535276,0.017952377
-0.0014870248,0.016066574,-0.0048455824
-0.010385037,0.02219662,0.0017942286
-0.0071727326,0.014176382,0.00092633313
0.006630772,0.008622639,0.0042303065
0.000632244,-0.0063995696,0.004892908
0.007946266,-0.00646504,-0.00018229223
-0.0023409063,-0.0014228692,-0.015445209
6.0946415e-05,0.00502488,0.0087299
0.0057807355,0.014801331,0.00067820936
-0.0043349224,-0.00570977,0.006623632
0.012311431,0.018044384,0.00089238904
-0.012982428,0.009643842,0.00041785656
-2.588166e-05,-0.0025544276,-0.0014920715
0.008234566,0.0020289442,-0.00013462434
0.005450214,-0.0040507177,0.019137017
-0.0025805181,0.01018881,0.011079016
0.0027434952,0.008954347,-0.006424703
0.0016111047,0.013952367,0.004008449
-0.006283933,-0.00046079402,0.008752654
0.0059376215,0.015398186,-0.0019281785
-0.009396396,0.040375076,-0.00016173565
-0.0031345966,-0.0026882703,0.003933484
0.002372403,-0.00090766704,0.0039121713
-0.00060593203,-0.0031676854,0.008312817
0.0005169079,-0.000339541,0.0005675893
-4.4855526e-05,0.0019201271,-0.008296999
-0.00199872,0.00019555473,-0.0076972162
0.0002542551,0.015469236,0.0049911267
-0.0009180321,0.00821234,-0.0015414609
0.013278241,0.0038832272,-0.0005673864
0.00075132825,0.0031560918,0.0024028819
-0.0034897693,0.01634976,-0.00011534152
-0.013187192,0.034078926,-0.0066169933
0.0022869047,-0.0015525445,0.0028123413
-0.006010595,0.0048332387,0.014880187
0.006009993,0.0071536144,0.009984695
0.0001989667,0.015085448,0.0049652234
0.009190823,0.00033896908,0.007540206
-8.885421e-05,-0.0038033137,-0.006476282
0.010749092,0.0077770483,-0.0059906
-0.00014311272,-0.0027608802,-0.0022841028
-0.0063741207,0.011136891,-0.004525261
-0.015838657,0.009137718,0.0058539137
-0.0030900042,0.001960505,0.008150105
0.0030798693,0.00040629343,-0.0004058619
-0.00054568297,-0.0010491216,0.009777958
-0.0014068743,-0.0042015654,0.0032737488
0.0046251155,0.013223263,0.0024646386
-0.01006562,0.0256135,0.0014886567
-0.001505714,-0.0009203394,0.0062696226
-0.00572386,0.0053608534,-0.005719739
0.0016668639,0.011925114,0.0046470915
0.0012247592,-0.00023633706,-0.0029474616
0.0012955645,0.019729057,0.00067522353
0.008307344,0.0061167195,0.0062287687
-0.0011535976,-0.0006454487,-0.0131570455
-0.008022093,0.008751064,0.00022364853
-0.0032508199,0.013995862,0.0002515178
-0.0076072137,-0.00076865853,0.0028368013
0.002339946,0.021029415,-0.0050585126
-0.0022429654,0.004949134,0.010632722
0.0068670455,0.0064072846,-0.00011117169
0.0015659526,0.005839107,-0.008479317
-0.008436253,0.02577801,-0.0011130044
0.0002728949,-0.0024982076,0.0013147437
0.0051692575,0.007042979,0.005946293
-0.0010446775,-0.0041670105,0.0023580561
0.004509729,-0.0030716152,0.0035240068
-0.0024759863,0.001645545,0.00072019437
-0.009572279,-0.0003584647,0.007707032
-0.0019661787,-0.0043444224,-0.0018072883
0.0043865493,0.013492768,0.0014520799
-0.010420365,-0.0051398072,0.008126128
0.004604503,0.006755738,0.005488467
-0.020858472,0.026332946,-0.0014000041
0.0009800133,-0.002256874,-0.0016418122
-0.008610066,0.020510655,-0.007905129
0.0002121474,0.013814637,-0.0022262267
0.0070428685,0.009038347,0.010834518
0.0048390785,0.008365294,0.004255691
-0.00032409278,-0.0012310374,-0.005938472
-0.0021807288,0.003444031,0.009271079
0.0005135085,-0.005055652,0.0072865547
-0.00014838568,0.004691497,0.005313135
0.0005043502,0.015324234,0.0063694334
0.00026029925,-0.0025567405,-0.002749182
0.00017461722,0.014759659,0.0044757617
0.0005715629,0.0031422449,-0.0023113226
