P,Q,R
0.0040527857,-0.0048951292,0.00063688256
-0.0019904815,0.018930206,-0.0031495078
-0.0033498507,0.019888151,0.0016316276
0.008532319,0.0036541403,9.9148274e-05
-0.006002406,0.019326422,-0.0019992958
-0.0068914606,0.016099267,-0.00574325
0.003356224,0.0057557137,0.0050387
0.007041531,-0.0037282386,0.0070173037
-0.0022236486,0.01554428,0.0021926793
-0.00035312312,0.016431518,-0.0012353051
0.013776165,0.01787779,0.0025931722
-0.00198864,0.0078229355,0.005726585
0.0018365306,0.014687797,0.00017968011
0.005018567,0.004953776,0.008561147
-0.00498191,0.029639348,-0.0037853632
0.004005211,0.0010838069,0.0029180446
-0.00448604,0.012290069,0.00286469
0.007297226,-0.0037623362,0.004583114
-0.004680088,0.012473629,-0.00051323307
0.006508999,0.0036054044,0.0087391
0.0013572373,0.0014544323,-0.0023504887
-0.0050976295,0.020604724,-0.006466325
-0.007829359,0.014544927,0.00019665682
0.0026647376,0.006621931,0.0077269804
0.0140991425,0.0065429485,0.006519681
-0.005899654,0.019084234,-0.0046437955
-0.00074452016,-5.515182e-05,0.0006474185
0.0038969652,-0.004657627,0.0074289134
0.0024828461,-0.0009557986,-0.00044455135
-0.003034644,0.028119996,-0.0036763425
0.0006541012,-0.0039922213,0.00024816475
-0.0029824402,-0.002408934,0.007739858
0.0028538334,0.010601372,0.0032944998
0.005604712,0.0041774283,0.0007566711
-0.0036264763,0.012954228,0.0029593618
-0.00669266,0.014973084,-2.9511422e-05
0.014161903,-0.018852772,0.0013442221
0.0028204413,0.010163821,0.001701261
0.0029755859,0.010358597,0.0033049786
-0.003221539,0.020878274,-0.004578684
-0.006602868,0.021652091,-0.004509188
0.0034752367,0.010552423,0.0024913943
0.00056411326,0.014472055,0.00082016306
5.9212252e-05,0.024926338,-0.0011276188
0.0019691677,0.015405266,-0.0017744477
0.004099423,-0.0010094619,-0.003989867
0.008050001,-0.00476415,0.01297253
-0.00016779447,0.016255308,-0.0023706614
-0.0020456128,0.0002170041,0.0057609533
-0.000486852,0.016225277,-0.0017535766
0.0025151125,-0.00268712,0.0065144515
-0.0026953486,0.018220682,-0.003572065
0.0026160881,-0.0036574213,-0.0023625437
-0.0014320944,0.012553254,-0.0034646078
-0.0020596238,0.005487949,0.008139157
-0.0054964772,0.019767469,-0.0026668443
0.009513085,-0.0030810274,0.014171062
-0.00018017054,0.002871258,0.0059309243
-0.0025028132,0.0045609735,0.0043602535
0.005139604,0.008841882,0.002414177
0.0011353396,0.006347111,0.005523715
0.0067409426,0.0028545447,0.0017356386
0.007804782,0.008019787,0.0007985611
