P,Q,R
0.0010312863,0.009594122,0.0048933197
0.0044229706,0.010115162,0.00033373153
-0.0029838462,0.0042319493,0.01585985
0.017285595,0.0013193714,-0.0008687767
0.012166792,0.0061070337,0.0023546459
0.004289476,0.011186062,0.0018293806
-0.0015887665,0.0075299544,0.0071684457
-0.0018814796,0.012680228,0.0030581541
0.0040069195,0.0071872454,0.008052216
0.01188407,0.003063498,0.0012437177
0.0069357734,0.005138295,0.0025783484
0.014289037,0.0029393013,0.0008241078
-0.005351045,0.007795741,0.003564662
0.0007152569,0.006381477,0.0046275975
-0.0043400745,0.0076005785,0.004073012
-6.983635e-05,0.0034818216,0.0067781406
-0.0059229536,0.010694533,0.0062218164
0.0018215901,0.012151596,0.0036749472
0.011342268,0.008473667,0.001258384
-0.0040615643,0.011212202,0.0044731437
0.014212349,0.003619921,-0.0014803477
-0.005321718,0.009561274,0.0045408
-0.004045069,0.009224026,0.005008925
-0.001148437,0.0077188835,0.0058865957
-0.002345861,0.010154202,0.003174658
-0.003572705,0.008750094,0.0040430017
0.0067911004,0.009394326,-0.0004493422
0.005852818,0.00765204,0.0014585019
-0.0025932023,0.007124951,0.0064616497
-0.0056816833,0.011132474,0.0069670277
0.013553082,0.0047489596,0.001406166
0.017735956,0.0015072417,-0.0029379395
-0.0007419577,0.009828624,0.0024577025
-0.0040700217,0.010724549,0.005987634
-0.005260199,0.0091523025,0.0044503873
-0.0002980302,0.0017174282,0.005858478
-0.00031823778,0.007324529,0.002870764
-0.0030680674,0.010946246,0.0055149784
0.0024378153,0.012195844,0.0024201772
-0.0031850887,0.01016897,0.002438886
0.009344302,0.005502094,0.0021805796
0.008534432,0.006965935,0.0010939674
-0.0022740925,0.006218813,0.0048148944
-0.004028852,0.010474141,0.0036855103
-0.0009292977,0.008508479,0.0024772095
-0.003753493,0.010284487,0.0058205808
0.0036656696,0.009584418,0.0012255777
-0.004249085,0.0121772345,0.0025207275
0.00039098162,0.010550005,0.0018734992
0.015419903,0.006298672,0.0010916025
-0.00030089525,0.0077181375,0.0037414704
-0.00019066752,0.007025649,0.0071155946
0.0066028954,0.008197891,-0.0003937236
0.016551208,0.005032453,0.0019803604
0.012043064,0.0042177406,0.0018188317
-0.0052703335,0.008160544,0.0039445506
-0.0043117045,0.0073519573,0.0033647192
-0.0007592293,0.0074070403,0.0031230804
0.008432325,0.008980358,0.00029081432
0.0011591071,0.008394053,0.0033958086
-0.005474216,0.009295675,0.005293928
-0.004500227,0.0087833395,0.003227002
-0.00065042294,0.0033254437,0.0046571507
-0.004211999,0.010877476,0.003754436
-0.00087391643,0.00819974,0.0027171145
-0.0037958336,0.008553436,0.0035228154
-0.0050580325,0.009548691,0.00460147
-0.0025665832,0.009519018,0.0029472816
0.011024849,0.004513507,0.0026196935
-0.0048149154,0.009903227,0.0033214968
-0.004005723,0.009189008,0.0071986504
-0.0018363881,0.008730021,0.009045062
0.0022549871,0.012455424,0.0033738925
0.008740183,0.00783938,0.0010133395
0.0053975573,0.009615537,0.0015917243
-0.00016455071,0.0087234415,0.0029438739
0.0015984906,0.006786373,0.0023851169
0.0076833065,0.0055054477,5.631498e-05
-0.00028877571,0.006815229,0.0040249415
-0.0045378422,0.009765691,0.0027472368
-0.0034945933,0.009205756,0.0032409253
-0.0021486129,0.0095232045,0.0036601499
0.008927428,0.0085790455,-0.0002476829
-6.349386e-05,0.007207285,0.0028110247
-0.0042186272,0.008888375,0.004688601
-0.005476409,0.009477729,0.0055065467
0.012275358,0.0041873152,0.00067089987
0.0066907136,0.004535163,0.0023099985
0.0080096545,0.00520534,0.001265804
-0.004246153,0.011038925,0.005147549
-0.004593195,0.012030631,0.006664481
0.010119276,0.005418662,-0.00033821748
-0.0005673014,0.009409282,0.006238443
-0.0007249362,0.012154948,0.00088125095
0.004109863,0.0059651975,0.002699212
-0.0045874524,0.009796868,0.004391838
0.011839558,0.0037903236,0.0026388392
-0.00019336329,0.012104445,0.0025362605
0.011628504,0.0049119745,0.0015744702
0.011637996,0.0070462893,-0.00048784772
0.012843949,0.0033274596,0.0025590807
0.007129165,0.0066772318,0.0013716603
0.002937584,0.009416211,0.0020443848
-0.00014594886,0.0020326227,0.005290971
-0.005216981,0.007959541,0.003832075
-0.0035780142,0.0066529,0.0063161934
-0.0006431157,0.008986294,0.0054404815
0.0033047567,0.008975405,0.0018248037
0.0018834876,0.014175421,0.0020000907
0.00719554,0.011474963,0.0015053875
-0.004167788,0.010514194,0.003254353
-0.0043940297,0.009018925,0.0057777287
0.009189812,0.0046059,0.0023384513
-0.0040978077,0.0076388502,0.004432152
-0.0014834423,0.010979165,0.0017923629
-0.002649823,0.010725176,0.0028277677
0.018858584,0.0010949224,-0.0005419433
0.00029151337,0.007512541,0.002626708
0.014975442,0.0032916504,-2.7003232e-05
0.005700544,0.0066838395,0.003436825
0.0067199455,0.007307839,0.001670185
-0.0027794484,0.011328363,0.0035879775
-0.0012648087,0.010824585,0.0036996203
-0.00028659694,0.0058036735,0.0053067543
0.010272822,0.0060386974,0.0014950051
-0.0006731443,0.0066857673,0.0077055614
0.012478823,0.0079383515,0.0010030498
0.017944442,0.0020041373,-0.0001673986
0.015491525,0.004415097,0.0016896188
0.009510654,0.010295313,0.0011707647
0.009966128,0.0038399198,0.0022851329
0.016760575,0.0028744242,-0.0009024105
0.017717125,0.0029430217,1.2004748e-05
0.014243162,0.0047251135,0.00082713505
-0.0025416142,0.008113429,0.0031582068
0.0006274536,0.008594816,0.0037423682
-0.0042595738,0.009211405,0.0055985763
0.0042499113,0.008863854,0.0010657576
0.009225475,0.008554847,0.00018455973
-0.004315963,0.0074131796,0.006124449
0.0074188244,0.0028033094,0.003919643
-0.0014857202,0.011602137,0.0046074004
-0.0026524097,0.010217852,0.0036889128
0.0010393295,0.01130584,0.0025420175
-0.005143009,0.013701262,0.0070992988
0.0051196697,0.0049288496,0.0035253263
-0.00316737,0.010357879,0.007781789
-0.0053563183,0.009170627,0.00630919
0.014397644,0.0032935683,6.6050095e-05
0.013057947,0.004478859,0.00032566185
0.009376321,0.008605981,-0.0003067837
0.00012368672,0.009122694,0.0025711637
-0.00022587995,0.008575604,0.0035486398
0.0055375225,0.0045736884,0.003658087
-0.00078725134,0.009956776,0.002520387
0.00786212,0.0048083793,0.002716904
-1.9935507e-05,0.006647947,0.0031960714
-0.0020366027,0.010838404,0.008790385
0.008517723,0.0060419044,0.00015635602
0.011517181,0.008517196,0.00061986456
0.008489612,0.0031555535,0.0003630917
0.007184643,0.0042374283,0.0035155062
0.015069138,0.004804072,0.001643168
0.010569395,0.0053468607,0.00069058896
0.012557775,0.00842021,0.0006112675
-0.0003049753,0.0043171966,0.004305641
-0.004641116,0.00607811,0.004760485
0.0006803824,0.008820615,0.0022218581
-0.0004998545,0.0072428784,0.00288456
0.0012037037,0.007710995,0.0062130783
0.006123479,0.012342332,0.001943423
-0.00010150649,0.0050976635,0.0035654923
-0.00032839316,0.0093642,0.004478693
-0.00012484647,0.008650489,0.004101103
-0.0030759294,0.008399814,0.003244414
0.0059881285,0.0063029607,0.0027249968
-0.0035656698,0.009893144,0.003807641
0.0033502746,0.011138231,0.0009304364
-0.00034104253,0.0043084873,0.004025162
